UniqueCount	AmbigCount
22	143
0	44
57	3333
0	3
0	49
0	53
0	0
0	109
0	84
0	2
0	0
0	0
1	3
0	1
99	341
0	26
17	31
0	11
0	2
1	249
422	218
2	374
45	76
0	239
2196	247
0	132
112	842
35	33
0	15
20	27
1	43
198	3961
0	3
1	420
34	595
9	492
3	503
0	301
952	291
0	137
0	24
0	7
2	62
0	12
0	41
10	6
0	21
37	61
50	87
0	20
0	15
237	71
1	920
0	767
0	1054
11	579
0	454
22	338
47	307
8	637
0	393
102	290
0	450
65	294
58	27
7	98
0	901
77	83
0	3
0	19
0	160
136	653
0	15
3	80
0	26
0	40
0	123
1	143
62	59
2	31
7	29
0	26
0	2
1	36
0	91
0	19
0	18
0	9
0	4
1946	8548
3190	69210
2345	328508
0	430
103	6405
10	111
54885	16544
111	7228
2	3
0	19
8	117
1387	5480
0	186
1	3
10	27
11	47
7	21
32	128
0	114
0	31
0	39
92	39
0	91
0	2
31	11
0	47
0	40
13	40
10	38
0	41
2	26
6	56
96	402
19	7
56	4
30	14
0	12
22	10
4	34
0	56
1473	440
1	94
4	91
4	117
0	81
0	43
1	480
0	165
6	129
5	105
22	56
30	45
28	53
188	21
34	73
0	16
0	64
6	11
0	0
38	0
263	66
14	46
568	386
0	262
2	126
6	117
0	48
0	850
1	788
0	875
0	796
8	865
0	855
0	858
10	769
0	858
0	764
17	352
0	1
0	22
0	1
0	1
83	4487
847	9894
451	9979
14	1
0	2302
108	180
237	942
2	1039
45	367
12	155
130	17
19	182
6	182
1	164
1	3
2	40
6	154
2	107
0	154
79	0
4	132
16	103
77	47
0	9
14	208
1	134
129	193
3	23
50	0
810	7658
1	7669
0	1
1	4
10	347
33	379
5	31
29	71
0	424
1014	4794
0	156
39	655
6	179
0	653
90	7
55	469
30	365
71	6
230	2
1	323
5	216
0	264
0	257
129	259
38	322
0	257
1	16
9	227
8	97
0	77
0	85
4	46
0	25
4	13
0	56
0	46
3	13
13	30
12	0
1	0
1	0
0	0
17	0
10	20
0	16
0	13
0	13
2	8
0	3
0	0
1	4
0	108
3	214
31	161
0	173
0	2
3	2
0	1
6	9308
4	6619
0	7876
215	4192
4	2717
3	3990
1	1430
1722	0
2	13
11	8
5	18
2	20
8	17
188	10
13	1988
0	1988
7	2335
4	1669
3	1593
0	2015
1	1645
91	411
0	1602
2	1657
1	394
0	578
0	654
3	330
28	335
10	119
0	80
36	193
45	169
26	22
5	8
54	5
3	290
0	214
45	252
1	252
6	13
4	263
2	6
2	79
0	3093
115	3101
69	2013
0	1533
31	31
14	133
14	400
19	70
107	663
6	270
90	199
0	148
36	6
0	0
17	570
3	134
0	10
0	236
28	407
15	3012
0	5022
0	5000
0	3427
1	3076
0	5058
0	890
1	3883
0	3434
766	3273
43	2313
2	3099
0	4998
0	3429
0	2913
2	4011
0	4532
0	1033
1	516
8	444
2	3562
0	496
0	1288
0	1552
3	1295
8	1164
0	2077
1	243
53	536
6	2271
15	960
0	1162
1	1845
0	1606
0	1610
5	214
64	72
0	994
9	1629
0	1269
49	907
2	839
5	1125
0	426
4	306
2	402
1	645
0	51
0	99
11	19
0	0
429	0
1	137
436	364
12	232
33	0
0	2455
0	2471
1	1754
2	599
0	624
8	272
4	111
15	110
0	0
0	805
10	833
0	814
16	595
45	798
0	222
0	160
16	153
0	2
0	2
0	4141
36	4140
0	4135
2	4131
16	49
4	2
7	0
932	7474
27	7427
170	5005
46	7885
20	13775
4	9690
14	6397
15	10399
0	11380
0	4643
9	5431
6	1902
13	1809
60	1956
19	1721
0	2598
121	314
0	634
33	95
14	410
1	546
1	2280
7	2335
0	88
0	68
0	2263
26	2255
0	1131
861	3970
21	2672
191	3264
312	288
157	1264
11	467
0	61
865	231
0	66
2	66
0	66
0	20
8	11
2	0
0	0
1	1
5	3
0	2
0	1
1	85
0	466
62	546
10	8
278	232
0	3
18	13
24	2087
509	2105
28	237
375	1419
294	1021
31	12
0	8
17	2979
1	2942
0	2986
3	2986
3	73
17	283
25	604
0	10
0	10
18	1
390	10235
137	8026
3	2336
1793	782
116	46
0	0
901	0
545	14
2	502
0	532
0	377
0	532
136	555
0	522
0	497
48	118
0	75
0	529
1	39
0	363
0	113
1	30
0	63
0	531
3	456
0	52
0	492
0	462
5	45
12	41
1	470
15	156
4	35
0	30
1	90
0	91
0	124
1	26
0	12
3	14
0	30
0	1
6	12
0	30
0	29
0	28
0	29
0	28
4	21
1	17
491	5369
0	5253
25	4745
0	4976
0	4903
10	4480
3	4468
13	4475
0	689
1	400
78	880
36	11223
0	11108
124	2486
103	805
167	91
42	52
0	30
0	2990
5	1017
4	2418
2	2757
0	2572
0	2985
0	2786
0	2834
0	2984
0	2868
82	275
2	835
0	240
0	50
6	466
0	123
1	136
6	713
16	355
30	309
37	67
14	36
8	18
525	3131
11	4
500	276
70	5
0	105
85	974
96	302
2	903
0	6190
3	6155
26	5623
20	3229
24	118
13	1078
0	704
0	501
40	1147
5	582
11	418
8	765
49	890
19	488
37	456
28	158
4	1
84	38632
5	35411
88	39589
206	5206
19	9920
34	4245
34	6004
6	3228
4	63
1	605
29	0
17	26
0	26
21	17
0	7
0	183
0	169
0	49
0	71
0	21
0	0
7	27
1	12
0	12
1	6
58	119
0	13
0	12
23	106
28	5
11	16
0	19
0	13
0	15
0	12
0	14
0	16
0	4
0	17
1	15
0	15
0	0
0	19
0	8
0	4
6	109
0	72
